offer_id;dealer_plz;dealer_city;dealer_street_house_nr;make;model;price_raw;gear_count_raw;battery_life_raw;frame_size_raw;wheel_size_raw;is_ebike;description_raw
57555186;8617;Zürich;Steinenvorstadt 104;Giant;Explore E+ 2;CHF 3420.-;12 Gänge;97 km;58 cm;27.5 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
95084884;6207;Basel;Kellerstrasse 79;Cube;Kathmandu Hybrid Pro;CHF 3420.-;12 Gänge;92 km;47 cm;28 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
40161480;1232;Baar;Sonnenbergstrasse 120;Cube;Kathmandu Hybrid Pro;CHF 3240.-;12 Gänge;95 km;49 cm;29 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
67448336;3690;Luzern;Weberstrasse 10;Bulls;E-Stream EVO AM 4;CHF 3670.-;10 Gänge;143 km;46 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
84304232;2975;St. Gallen;Kellerstrasse 110;Trek;Domane SL 6;CHF 1770.-;22 Gänge;;56 cm;27.5 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
53589939;5264;Bern;Zieglerstrasse 116;Cube;Kathmandu Hybrid Pro;CHF 3050.-;9 Gänge;87 km;51 cm;29 Zoll;1;E-Trekkingbike mit Bosch Performance CX Motor und hoher Reichweite.
12231155;4548;St. Gallen;Kellerstrasse 24;Scott;Scale 940;CHF 690.-;9 Gänge;;57 cm;28 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
31581726;6013;Chur;Weberstrasse 14;Cannondale;Synapse Carbon 3;CHF 1800.-;11 Gänge;;57 cm;28 Zoll;0;Komfortables Endurance-Rennrad mit vibrationsdämpfendem Rahmen.
36201204;8167;Zug;Kellerstrasse 75;Orbea;Gain D30;CHF 2720.-;12 Gänge;122 km;49 cm;29 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
69864549;7023;Chur;Zieglerstrasse 103;Scott;Scale 940;CHF 1920.-;10 Gänge;;60 cm;29 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
78022708;4411;St. Gallen;Weberstrasse 10;Giant;Explore E+ 2;CHF 2790.-;12 Gänge;86 km;47 cm;28 Zoll;1;Vielseitiges E-Bike mit komfortabler Sitzposition und hoher Reichweite.
86941399;7443;Zürich;Sonnenbergstrasse 141;Bulls;E-Stream EVO AM 4;CHF 3800.-;22 Gänge;135 km;56 cm;27.5 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
28172209;1231;Luzern;Sonnenbergstrasse 80;Haibike;Trekking 7;CHF 4110.-;22 Gänge;153 km;60 cm;27.5 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
98860641;1540;Bern;Zieglerstrasse 71;Bulls;E-Stream EVO AM 4;CHF 2870.-;9 Gänge;124 km;46 cm;29 Zoll;1;Hochwertiges E-Mountainbike mit ausgezeichneter Geometrie für Trails.
88442446;9774;Bern;Kellerstrasse 49;Haibike;Trekking 7;CHF 4650.-;22 Gänge;105 km;58 cm;28 Zoll;1;Robustes E-Trekkingbike mit großem Akku für lange Touren.
33377785;4720;Bern;Steinenvorstadt 122;Orbea;Gain D30;CHF 4070.-;22 Gänge;115 km;51 cm;29 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
96233295;6787;Chur;Steinenvorstadt 33;Specialized;Turbo Vado 5.0;CHF 3480.-;22 Gänge;144 km;54 cm;29 Zoll;1;Leistungsstarkes E-Bike für Stadt und Tour mit integrierter Beleuchtung.
92660982;6346;St. Gallen;Sonnenbergstrasse 88;Orbea;Gain D30;CHF 3150.-;9 Gänge;115 km;58 cm;29 Zoll;1;Leichtes E-Rennrad mit natürlichem Fahrgefühl und dezentem Motor.
62401473;7117;Baar;Steinenvorstadt 13;Scott;Scale 940;CHF 600.-;9 Gänge;;47 cm;28 Zoll;0;Hardtail-Mountainbike mit Aluminiumrahmen und präzisem Handling.
18341771;9694;Basel;Kellerstrasse 37;Trek;Domane SL 6;CHF 1250.-;9 Gänge;;49 cm;27.5 Zoll;0;Leichtes Carbon-Rennrad mit hervorragender Dämpfung und Aerodynamik.
